"","name","member","reference","tsea_category","classification","host_gene","snp_id","mesh","omim","seq_inst","abund_change","relationship","evidence","host_sp","num_samples","host_age","host_site"
"159","Obese (s_decrease)","Oscillospira guillermondii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23190729'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - Human Intestinal Tractip Microarray","Decrease",NA,"This revealed that the genus-like (level 2) groups Eubacterium ventriosum et rel. and Roseburia intestinalis et rel. were significantly more abundant in the higher BMI siblings (P=0.014 and P=0.003, respectively; Figure 2b), while and Oscillospira guillermondii et rel. was significantly more abundant different in the lower BMI siblings (P=0.014; Figure 2b).","Homo Sapiens",40,">18","Gut (faecal)"
"160","Obese (s_increase)","Eubacterium ventriosum; Roseburia intestinalis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23190729'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C18.654.726.500; C23.888.144.699.500","601665","16S rRNA - Human Intestinal Tractip Microarray","Increase",NA,"This revealed that the genus-like (level 2) groups Eubacterium ventriosum et rel. and Roseburia intestinalis et rel. were significantly more abundant in the higher BMI siblings (P=0.014 and P=0.003, respectively; Figure 2b), while and Oscillospira guillermondii et rel. was significantly more abundant different in the lower BMI siblings (P=0.014; Figure 2b).","Homo Sapiens",40,">18","Gut (faecal)"
"161","Obesity (Denmark)","Bacteroides pectinophilus ATCC 43243; Ruminococcus gnavus ATCC 29149; Coprococcus sp. ART55; Clostridium clostridioforme; Coprococcus catus GD/7; Prevotella copri DSM 18205; Eubacterium biforme DSM 3989; Bilophila wadsworthia 3_1_6; Clostridium symbiosum WAL-14673; Clostridium symbiosum WAL-14163; Coprobacillus sp. D7; Clostridium ramosum DSM 1402; Ruminococcus torques ATCC 27756; Lachnospiraceae bacterium 8_1_57FAA; Ruminococcus torques ATCC 27756; Lachnospiraceae bacterium 8_1_57FAA; Methanobrevibacter smithii ATCC 35061; Methanobrevibacter smithii DSM 2374; Methanobrevibacter smithii DSM 2375; Methanobrevibacter smithii TS145A; Methanobrevibacter smithii TS145B; Methanobrevibacter smithii TS146A; Methanobrevibacter smithii TS146B; Methanobrevibacter smithii TS146C; Methanobrevibacter smithii TS146D; Methanobrevibacter smithii TS146E; Methanobrevibacter smithii TS147A; Methanobrevibacter smithii TS147B; Methanobrevibacter smithii TS147C; Methanobrevibacter smithii TS94A; Methanobrevibacter smithii TS94B; Methanobrevibacter smithii TS94C; Methanobrevibacter smithii TS95A; Methanobrevibacter smithii TS95B; Methanobrevibacter smithii TS95C; Methanobrevibacter smithii TS95D; Methanobrevibacter smithii TS96A; Methanobrevibacter smithii TS96B; Methanobrevibacter smithii TS96C; Faecalibacterium prausnitzii SL3; Faecalibacterium prausnitzii M21/2; Faecalibacterium cf. prausnitzii KLE1255; Faecalibacterium prausnitzii A2-165; Faecalibacterium prausnitzii L2-6","<a href='https://www.ncbi.nlm.nih.gov/pubmed/23985870'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C18.654.726.500; C23.888.144.699.500; E01.370.600.115.100.160.120.699.500; G07.100.100.160.120.699.500","601665","Whole Genome Sequencing - Illumina HiSeq 2000","Increase","1","Table S2","Homo Sapiens",292,"50-64","Gut (faecal)"
"162","Opportunisitc urinary tract infection","Proteus penneri ATCC 35198;  Providenciauartii ATCC 25827","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.895; C12.777.892; C13.351.968.892",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"163","Opportunistic infection","Capnocytophaga ochracea F0287; Clostridium ramosum VPI 0427, DSM 1402; Corynebacterium aurimucosum CN-1, ATCC 700975; Enterococcus faecalis TUSoD Ef11; Neisseriacca ATCC 29256; Fusobacterium. D11; Propionibacterium acidifaciens F0233; Clostridium ramosum VPI 0427, DSM 1402; Propionibacterium. 5_U_42AFAA; Enterococcussseliflavus ATCC 12755; Enterococcus italicus DSM 15952; Propionibacterium propionicum F0230a; Propionimicrobium lymphophilum ACS-093-V-SCH5; Enterococcus faecium PC4.1; Proteus penneri ATCC 35198; Enterococcus. 7L76","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.597; C02.597; C03.684",NA,"16S rRNA - Roche 454 platform","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"164","Opportunistic peritoneal disease","Enterococcus faecalis PC1.1; Bacteroides vulgatus PC510","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C06.844",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"165","Oral infection","Candida glabrata CAB52-4041; Candida tropicalis CAB54-6763-3; Candida parapsilosis CAB50-2638; Prevotella bivia; Prevotella buccalis ATCC 35310; Prevotella disiens VPI 8057; Prevotella disiens; Prevotella melaninogenica ATCC 25845; Prevotella melaninogenica; Prevotella stercorea DSM 18206; Prevotella tannerae ATCC 51259; Prevotella oris F0302; Prevotella veroralis F0319; Corynebacterium matruchotii ATCC 14266; Corynebacterium macginleyi TBS-13; Corynebacterium pseudodiphtheriticum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"166","Overweight Obese Mother (decrease)","Enterobacteriaceae; Pasteurellaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29459942'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Family",NA,NA,"C18.654.726.500; C23.888.144.699.50","601665","16S rRNA - V4 region, Illumina MiSeq","Decrease",NA,"Table S2","Homo Sapiens",935,"0-3","Gut (faecal)"
"167","Overweight Obese Mother (increase)","Coriobacteriaceae; Erysipelotrichaceae; Lachnospiraceae; Ruminococcaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29459942'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Family",NA,NA,"C18.654.726.500; C23.888.144.699.50","601665","16S rRNA - V4 region, Illumina MiSeq","Increase",NA,"Table S2","Homo Sapiens",935,"0-3","Gut (faecal)"
"168","Pancreatic cancer","Porphyromonas gingivalis; Alloprevotella; Leptotrichia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27742762'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C04.588.274.761; C04.588.322.475; C06.301.761; C06.689.667; C19.344.421
","260350; 613347; 606719; 606856; 613348; 614320","16S rRNA - V3-V4 regions Roche 454 FLX","Increase","1","Table 2","Homo Sapiens",732,"63.8±5.2","Oral (mouthwash)"
"169","Parkinsons (decrease_g)","Marmoricola; Flavobacteriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28259623'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","16S rRNA - V1-V3 regions, Illumina MiSeq","Decrease","1","Figure 2 and Figure S3","Homo Sapiens",152,"65.36 ± 5.50","Nasal"
"170","Parkinsons (decrease)","Eubacterium biforme; Prevotella copri; Clostridiumccharolyticum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28449715'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","Shotgun Sequencing, Illumina HiSeq4000","Decrease","1","Figure 1C","Homo Sapiens",59,"64.8 ± 9.5","Gut (faecal)"
"171","Parkinsons (decreased)","Haemophilus;  Neisseria; Gemella; Rothia; Leptotrichia; Corynebacterium; Kingella; Actinomyces; Capnocytophaga; Moryella; Granulicatella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28259623'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","16S rRNA - V1-V3 regions, Illumina MiSeq","Decrease","1","Figure 2 and Figure S3","Homo Sapiens",152,"65.36 ± 5.50","Oral"
"172","Parkinsons (increase_g)","Staphylococcus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28259623'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","16S rRNA - V1-V3 regions, Illumina MiSeq","Increase","1","Figure 2 and Figure S3","Homo Sapiens",152,"65.36 ± 5.50","Nasal"
"173","Parkinsons (increase)","Akkermansia muciniphila;  Alistipes shahii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28449715'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","Shotgun Sequencing, Illumina HiSeq4000","Increase","1","Figure 1C","Homo Sapiens",59,"64.8 ± 9.5","Gut (faecal)"
"174","Parkinsons (increased)","Veillonella; Prevotella; Solobacterium","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28259623'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C10.228.140.079.862.500; C10.228.662.600.400; C10.574.812","168600; 605909; 168601; 600116; 605543; 615528; 300557; 602404; 606852; 607060; 556500; 260300; 606324; 610297; 612953; 614203; 614251; 607688; 615530; 616710; 616840; 613643; 613164; 616361","16S rRNA - V1-V3 regions, Illumina MiSeq","Increase","1","Figure 2 and Figure S3","Homo Sapiens",152,"65.36 ± 5.50","Oral"
"175","Pediatric Crohn's Disease","Bacteroides; Faecalibacterium; Roseburia; Blautia; Ruminococcus; Coprococcus; Faecalibacterium prausnitzii","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24629344'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C06.405.205.731.500; C06.405.469.432.50","266600; 604519; 612566; 612241; 606668; 612288; 601458; 612244; 612245; 612567; 612278; 612259; 605225; 606348; 608448; 612381","16S rRNA - Illumina MiSeq","Decrease","1","Table S2","Homo Sapiens",668,"3-17","Gut (faecal, ileal, rectal)"
"176","Periodontal infection","Fusobacterium nucleatum nucleatum ATCC 23726; Parvimonas micra ATCC 33270; Fusobacterium nucleatum polymorphum F0401; Fusobacterium necrophorum funduliforme 1_1_36S; Fusobacterium nucleatum animalis F0419; Prevotella bivia; Prevotella buccalis ATCC 35310; Prevotella disiens VPI 8057; Prevotella disiens; Prevotella melaninogenica ATCC 25845; Prevotella melaninogenica; Prevotella stercorea DSM 18206; Prevotella tannerae ATCC 51259; Prevotella oris F0302; Prevotella veroralis F0319; Capnocytophaga ochracea F0287; Actinomyces graevenitzii C83; Actinomyces viscosus C505; Actinomyces viscosus C505","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.392.433; C07.793.348",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"177","Periodontitis (decrease)","Actinomyces; Streptococcus; Rothia; Bergeyella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25691586'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C07.465.714.533",NA,"16S rRNA - Whole Genome Sequencing","Decrease","1","Table S1","Homo Sapiens",24,"37-65","Oral (Subgingival)"
"178","Periodontitis (increase)","Porphyromonas; Treponema; Tannerella; Peptostreptococcus; Synergistes; Filifactor; Mycoplasma; Olsenella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/25691586'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"C07.465.714.533",NA,"16S rRNA - Whole Genome Sequencing","Increase","1","Table S1","Homo Sapiens",24,"37-65","Oral (Subgingival)"
"179","Peritonitis","Atopobium rimae ATCC 49626; Selenomonas sputigena ATCC 35185; Selenomonas sputigena ATCC 35185; Campylobacter rectus RM3267, CCUG 20446; Campylobacterowae RM3277; Capnocytophaga gingivalis ATCC 33624; Capnocytophagautigena Capno, ATCC 33612; Eikenella corrodens ATCC 23834; Fusobacterium periodonticum ATCC 33693","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.539.463.600; C06.844.64",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"180","Pneumonia","Staphylococcus aureus aureus TCH60; Staphylococcus aureus aureus TCH70; Staphylococcus aureus aureus TCH130; Staphylococcus aureus aureus USA300_TCH959; Staphylococcus epidermidis SK135; Acinetobacter baumannii ATCC 19606, CIP 70.34","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C08.381.677; C08.730.610","263000","Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"181","Post Partum Gestational Diabetes (decrease)","Ruminococcus; Fusobacteriaceae; Fusobacterium; Pseudomonadales","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29764499'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C13.703.170; C18.452.394.750.448; C19.246.200","610582","16S rRNA - V1-V2 regions, Illumina MiSeq","Decrease","1","Figure 2d","Homo Sapiens",125,"34.4±4.4","Gut (faecal)"
"182","Post Partum Gestational Diabetes (increase)","Hafnia; Olsenella; Howardella; Dehalobacter; Collinsella; Clostridium_sensu_stricto; Actinobacteria; Clostridiaceae_1; Coriobacteriales; Coriobacteriaceae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29764499'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Mixed",NA,NA,"C13.703.170; C18.452.394.750.448; C19.246.200","610582","16S rRNA - V1-V2 regions, Illumina MiSeq","Increase","1","Figure 2d","Homo Sapiens",125,"34.4±4.4","Gut (faecal)"
"183","Pregnant (decrease)","Moryetta indoligenes; Neisseria zoodegmatis; Neisseria elongata; Haemophilus influenzae","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27461975'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Mixed",NA,NA,"M01.975.807",NA,"16S rRNA - V4 region, Illumina MiSeq","Decrease",NA,"Figure 4a/4b","Homo Sapiens",33,"20-24","Oral (Subgingival)"
"184","Pregnant (increase)","Enterococcus; Methylobacterium; Pseudomonas veronii; Pseudomonadaceae; Klebsiella; Enterobacter hormaechei; Dechloromonas; Herbaspirillum; Acidovorax; Diaphrobacter nitroeducens","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27461975'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Mixed",NA,NA,"M01.975.807",NA,"16S rRNA - V4 region, Illumina MiSeq","Increase",NA,"Figure 4a/4b","Homo Sapiens",33,"20-24","Oral (Subgingival)"
"185","Preterm birth (g_decrease)","Rhodococcus; Paenibacillus; Klebsiella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24848255'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,"C13.703.420.491.500",NA,"Whole Genome Sequencing - Illumina HiSeq 2500","Decrease",NA,"Figure 3B","Homo Sapiens",48,"20-34","Placental"
"186","Preterm birth (g_increase)","Streptosporangium; Roseovarius; Burkholderia; Anaeromyxobacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/24848255'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Genus",NA,NA,"C13.703.420.491.500",NA,"Whole Genome Sequencing - Illumina HiSeq 2500","Increase",NA,"Figure 3B","Homo Sapiens",48,"20-34","Placental"
"187","Preterm birth (s_decrease)","Bifidobacterium bifidum; Streptococcus vestibularis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29688458'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,"C13.703.420.491.500",NA,"16S rRNA - V4, Illumina HiSeq 2000 platform ","Decrease",NA,"Table 3","Homo Sapiens",519,"10 days","Gut (faecal)"
"188","Preterm birth (s_increase)","Bifidobacterium stercoris; Enterococcus faecalis; Enterococcus saccharolyticus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29688458'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,"C13.703.420.491.500",NA,"16S rRNA - V4, Illumina HiSeq 2000 platform ","Increase",NA,"Table 3","Homo Sapiens",519,"10 days","Gut (faecal)"
"189","Professional Athlete (decrease)","Howardella; Escherichia_higella; Phasolarctobacterium; Bacteriodes; Turicibacter","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28360096'target='_blank'><u>PubMed</u></a>","1.5 - Lifestyle","Genus",NA,NA,NA,NA,"16S rRNA - V4 region, Roche 454 FLX","Decrease","1","Table S9","Homo Sapiens",86,"29.0±4.0","Gut (faecal)"
"190","Professional Athlete (increase)","Erysipelotrichaceae_Incertae_Sedis; Anaerotruncus; Parasutterella; Succinivibrio; Phasolarctobacterium; Lactobacillus; Escherichia_higella; Parasutterella; Mogibacterium; Catabacter; Coriobacteriaceae_bacterium_WAL_18889; Clostridium; Ruminococcus; Allisonella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/28360096'target='_blank'><u>PubMed</u></a>","1.5 - Lifestyle","Genus",NA,NA,NA,NA,"16S rRNA - V4 region, Roche 454 FLX","Increase","1","Table S9","Homo Sapiens",86,"29.0±4.0","Gut (faecal)"
"191","Psoriasis","Coprococcus catus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C17.800.859.675","177900","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"192","Pulse","Clostridium leptum","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"193","Quality Life (phys.comp.score)","Eubacterium ramulus; Coprococcus catus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.4 - Health","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"194","Resistance to Immune Checkpoint Inhibitors (decrease)","Prevotella; Clostridium. CAG:921; Prevotella. CAG:617; Clostridium bolteae; Blautia; Proteobacteria; Bacteroides nordii; Parabacteroides distasonis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29097494'target='_blank'><u>PubMed</u></a>","1.9 - Drug Sensitivity","Mixed",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Decrease","1","Figure 2G","Homo Sapiens",78,"43-77","Gut (faecal)"
"195","Resistance to Immune Checkpoint Inhibitors (increase)","Akkermansia muciniphila; Firmicutes; Eubacterium; Lachnospiraceae; Erysipelotrichaceae bacterium 5_2_54FAA; Cloacibacillus porcorum; Enterococcus faecium; Intestinimonas; Clostridiales; Alistipes; Bacteroides; Alistipes indistinctus; Prevotella","<a href='https://www.ncbi.nlm.nih.gov/pubmed/29097494'target='_blank'><u>PubMed</u></a>","1.9 - Drug Sensitivity","Mixed",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Figure 2G","Homo Sapiens",78,"43-77","Gut (faecal)"
"196","Resistance to PD-L1 monoclonal antibodies (decrease)","Dorea; Ruminococcaceae; Butyricimonas; Peptococcaceae; Candidatus; Arthromitus; Ruminococcus; Adlercreutzia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26541606'target='_blank'><u>PubMed</u></a>","1.9 - Drug Sensitivity","Mixed",NA,NA,NA,NA,"16S rRNA - V4-V5 regions, Illumina MiSeq","Decrease","1","Table S4","C57BL/6 mice",20,"6-8 weeks","Gut (faecal)"
"197","Resistance to PD-L1 monoclonal antibodies (increase)","Bifidobacterium; Bacteroides; Turicibacter; Sutterella; Clostridiaceae; Allobaculum; Lactobacillus; Akkermansia","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26541606'target='_blank'><u>PubMed</u></a>","1.9 - Drug Sensitivity","Mixed",NA,NA,NA,NA,"16S rRNA - V4-V5 regions, Illumina MiSeq","Increase","1","Table S4","C57BL/6 mice",20,"6-8 weeks","Gut (faecal)"
"198","Rheumatoid arthritis","Streptococcus anginosus; Streptococcus parasanguinis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C05.550.114.154; C05.799.114; C17.300.775.099; C20.111.199","180300; 604302","Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase","1","Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
"199","Rheumatoid arthritis (China, increase)","Prevotella tannerae; Treponema vincentii; Capnocytophaga ochracea; Selenomonas infelix; Gemella sanguinis; Eubacterium saphenum; Bifidobacterium dentium; Bulleidia extructa; Campylobacter rectus; Capnocytophaga gingivalis; Centipeda periodontii; Cryptobacterium curtum; Eikenella corrodens; Filifactor alocis; Fusobacterium nucleatum; Johnsonella ignava; Lachnospiraceae bacterium; Lactobacillus salivarius; Neisseria macacae; Olsenella.OF0356; Peptostreptococcus stomatis; Porphyromonas gingivalis; Prevotella intermedia; Prevotella maculosa; Prevotella nigrescens; Prevotella oralis; Prevotella salivae; Pseudoramibacter alactolyticus; Streptococcus mutans; Tannerella forsythensis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26214836'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C05.550.114.154; C05.799.114; C17.300.775.099; C20.111.199","180300; 604302","Metagenomic shotgun sequencing - Illumina","Increase","1","Supplementary Tables","Homo Sapiens",212,"19-74","Oral (Subgingival)"
"200","Rheumatoid arthritis (China, increased)","Porphyromonas gingivalis; Peptostreptococcus stomatis; Selenomonas sputigena; Prevotella salivae; Prevotella intermedia; Tannerella forsythensis; Kingella denitrificans; Rothia aeria; Prevotella oulorum; Campylobacter rectus; Actinomyces naeslundii; Atopobium parvulum; Cardiobacterium hominis; Corynebacterium matruchotii; Cryptobacterium curtum; Filifactor alocis; Lactobacillus salivarius; Leptotrichia wadei; Olsenella uli; Parvimonas micra; Prevotella histicola; Prevotella veroralis; Selenomonas flueggei; Slackia exigua; Solobacterium moorei; Streptococcus parasanguinis; Streptococcus sanguinis","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26214836'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Species",NA,NA,"C05.550.114.154; C05.799.114; C17.300.775.099; C20.111.199","180300; 604302","Metagenomic shotgun sequencing - Illumina","Increase","1","Figure 1","Homo Sapiens",212,"19-74","Oral (Salivary)"
"201","Rheumatoid arthritis (China)","Bacteroides vulgatus; Bifidobacterium bifidum; Bifidobacterium dentium; Clostridium asparagiforme; Clostridium leptum; Coprococcus catus; Dialister invisus; Eggerthella lenta; Enterobacteroacae; Gordonibacter pamelaeae; Holdemania filiformis; Klebsiella pneumoniae; Lachnospiraceae bacterium; Lactobacillus sanfranciscensis; Megamonas hypermegale; Parabacteroides johnsonii; Roseburia intestinalis; Ruminococcus lactaris; Blautia obeum; Sutterella wadsworthensis; Bacteroides plebeius; Bacteroides. 20_3","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26214836'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C05.550.114.154; C05.799.114; C17.300.775.099; C20.111.199","180300; 604302","Metagenomic shotgun sequencing - Illumina","Increase","1","Supplementary Tables","Homo Sapiens",212,"19-74","Gut (faecal)"
"202","Schizophrenia (decrease)","Bifidobacterium; Basfia; Aggregatibacter; Capnocytophaga; Pasteurella; Mannheimia; Neisseria; Actinobacillus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26336637'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.700.750",NA,"16S rRNA - V1 - V4, Illumina HiSeq 2000 platform ","Decrease","1","Figure S2","Homo Sapiens",32,"18-65","Oropharynx"
"203","Schizophrenia (increase)","Lactobacillus gasseri; Catenibacterium mitsuokai; Candida dubliniensis; Eubacterium hallii; Lactobacillus salivarius; Bifidobacterium pseudocatenulatum; Streptococcus gordonii; Streptococcus thermophilus","<a href='https://www.ncbi.nlm.nih.gov/pubmed/26336637'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Genus",NA,NA,"F03.700.750",NA,"16S rRNA - V1 - V4, Illumina HiSeq 2000 platform ","Increase","1","Table 2","Homo Sapiens",32,"18-65","Oropharynx"
"204","Septicemia","Proteus penneri ATCC 35198; Providenciauartii ATCC 25827; Edwardsiella tarda ATCC 23685; Campylobacterli JV20; Campylobacter upsaliensis JV21","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27794040'target='_blank'><u>PubMed</u></a>","1.6 - Disease Signature","Strain",NA,NA,"C01.252.100.375; C01.252.400.700.662.297; C01.539.757.100.375; C23.550.470.790.500.100.375",NA,"Whole Genome Sequencing","Increase",NA,"https://gold.jgi.doe.gov/","Homo Sapiens",NA,NA,"Various"
"205","Sex","Bifidobacterium longum; Collinsella aerofaciens; Eggerthella unclassified; Gordonibacter pamelaeae; Bacteroidales bacterium ph8; Paraprevotella unclassified; Alistipes onderdonkii; Lachnospiraceae bacterium 3 1 57FAA CT1; Lachnospiraceae bacterium 5 1 63FAA; Lachnospiraceae bacterium 7 1 58FAA; Subdoligranulum unclassified; Bilophila unclassified; Akkermansia muciniphila","<a href='https://www.ncbi.nlm.nih.gov/pubmed/27126040'target='_blank'><u>PubMed</u></a>","1.1 - Anthropometric","Species",NA,NA,NA,NA,"Metagenomic shotgun sequencing - Illumina HiSeq 2000","Increase",NA,"Table S11","Homo Sapiens",1135,"45.04±13.60","Gut (faecal)"
